"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Quản lý Đăng nhập","1","0","Đăng nhập thất bại","0"
"0","","0","Quản lý Đăng nhập","1","0","Đăng nhập thành công","0"
"0","","0","Quản lý Đăng nhập","1","0","Cảnh báo để trống trường thông tin đăng nhập","0"
